date,end_of_day,vol
2021-08-31,3440.5623,
2021-09-01,3790.614,
2021-09-02,3793.3007,
2021-09-03,3936.1634,
2021-09-04,3894.9375,
2021-09-05,3950.2703,
2021-09-06,3943.2568,
2021-09-07,3440.3418,
2021-09-08,3496.859,
2021-09-09,3435.9799,
2021-09-10,3209.9157,
2021-09-11,3268.1042,
2021-09-12,3417.8394,
2021-09-13,3301.1868,
2021-09-14,3425.2509,
2021-09-15,3595.9626,
2021-09-16,3573.3075,
2021-09-17,3412.1772,
2021-09-18,3427.5843,
2021-09-19,3335.8849,
2021-09-20,2977.3227,
2021-09-21,2744.111,
2021-09-22,3074.1198,
2021-09-23,3159.2699,
2021-09-24,2930.7427,
2021-09-25,2946.9708,
2021-09-26,3063.3163,
2021-09-27,2939.7423,
2021-09-28,2798.9844,
2021-09-29,2855.6117,
2021-09-30,3013.4932,
2021-10-01,3305.107,
2021-10-02,3393.9242,
2021-10-03,3426.3871,
2021-10-04,3390.3104,
2021-10-05,3520.3423,
2021-10-06,3592.1761,
2021-10-07,3594.9184,
2021-10-08,3558.5496,
2021-10-09,3588.0809,
2021-10-10,3431.0193,
2021-10-11,3537.8401,
2021-10-12,3498.1053,
2021-10-13,3605.6503,
2021-10-14,3794.5169,
2021-10-15,3885.6418,
2021-10-16,3854.4985,
2021-10-17,3854.2237,
2021-10-18,3752.6187,
2021-10-19,3884.5873,
2021-10-20,4170.1079,
2021-10-21,4074.8602,
2021-10-22,3990.712,
2021-10-23,4179.4423,
2021-10-24,4094.939,
2021-10-25,4230.2084,
2021-10-26,4152.5703,
2021-10-27,3944.0909,
2021-10-28,4288.0972,
2021-10-29,4422.9405,
2021-10-30,4324.6099,
2021-10-31,4292.0405,
2021-11-01,4330.5532,
2021-11-02,4596.5931,
2021-11-03,4607.6993,
2021-11-04,4550.0144,
2021-11-05,4494.8028,
2021-11-06,4527.1042,
2021-11-07,4626.6293,
2021-11-08,4815.0046,
2021-11-09,4742.0809,
2021-11-10,4641.5288,
2021-11-11,4732.9245,
2021-11-12,4685.1064,
2021-11-13,4666.4985,
2021-11-14,4652.9474,
2021-11-15,4583.2114,
2021-11-16,4243.3529,
2021-11-17,4302.805,
2021-11-18,3993.8466,
2021-11-19,4317.6032,
2021-11-20,4436.1928,
2021-11-21,4319.3616,
2021-11-22,4101.0629,
2021-11-23,4355.421,
2021-11-24,4269.4372,
2021-11-25,4515.8433,
2021-11-26,4048.3128,
2021-11-27,4084.0885,
2021-11-28,4290.0919,
2021-11-29,4444.5283,
2021-11-30,4637.1216,
2021-12-01,4589.6106,1.0626976696083104
2021-12-02,4519.441,1.0629016481556852
2021-12-03,4240.1555,1.0648887489209264
2021-12-04,4101.6568,1.0625790088054214
2021-12-05,4198.5729,1.0620866837654637
2021-12-06,4347.6156,1.0624666106044027
2021-12-07,4310.5666,1.062332490725759
2021-12-08,4431.5406,1.060133067085823
2021-12-09,4153.3333,1.062066499912915
2021-12-10,3918.2007,1.063537028304379
2021-12-11,4079.8149,1.0635829897861566
2021-12-12,4135.8415,1.063060881660574
2021-12-13,3782.8953,1.0665845221835475
2021-12-14,3858.1645,1.0665633542291928
2021-12-15,4015.7225,1.0671079363862073
2021-12-16,3971.5598,1.0647559259856376
2021-12-17,3886.7474,1.065104189502105
2021-12-18,3966.4254,1.0651532679680564
2021-12-19,3928.8417,1.0652726645473942
2021-12-20,3950.4824,1.064644388847245
2021-12-21,4036.5497,1.0634716633769155
2021-12-22,3992.5946,1.0630862908779795
2021-12-23,4113.5299,1.0602653311843102
2021-12-24,4055.1174,1.0598755152613122
2021-12-25,4110.5719,1.059785733566395
2021-12-26,4075.0316,1.0598518605522553
2021-12-27,4045.0514,1.0571644980171189
2021-12-28,3807.3604,1.057650464749683
2021-12-29,3644.4055,1.0587758518329595
2021-12-30,3714.9455,1.0587154920323838
2021-12-31,3686.4025,1.0585108835676555
2022-01-01,3780.315874327848,1.058545944213415
2022-01-02,3835.3959914939574,1.0569231268117836
2022-01-03,3769.4049401148714,1.0299871594468764
2022-01-04,3794.908130100449,1.0284864117851364
2022-01-05,3556.9062274078738,1.028262456307789
2022-01-06,3416.8260086159135,1.0251699213346972
2022-01-07,3201.79457434796,1.0272876435772407
2022-01-08,3101.0409016141402,1.027866007355575
2022-01-09,3156.967262159481,1.0269984703483317
2022-01-10,3086.7290024387257,1.0272107448575563
2022-01-11,3246.413723028553,1.0184281121615426
2022-01-12,3378.0358951715943,1.0179319603261447
2022-01-13,3256.7588661330324,1.0157085955298437
2022-01-14,3311.986061274383,1.013314445661704
2022-01-15,3331.246655159985,1.0124735474954867
2022-01-16,3356.2954438590405,1.0112723699824755
2022-01-17,3216.592980619574,1.012273986335401
2022-01-18,3166.4539115046164,1.0123100956952025
2022-01-19,3097.0214660626802,1.0078966362938273
2022-01-20,3015.588777543836,1.0083386146841378
2022-01-21,2564.3433423740635,1.0014058936622516
2022-01-22,2407.377851608285,0.998695844313725
2022-01-23,2537.836727861043,0.9999661495200659
2022-01-24,2447.831512095295,0.9924792859310713
2022-01-25,2465.21922984942,0.9910885292896575
2022-01-26,2470.4304120157067,0.990865827068995
2022-01-27,2411.863855325421,0.9881144470339881
2022-01-28,2551.1110735194716,0.9879658211552738
2022-01-29,2603.603872339056,0.9874753589171714
2022-01-30,2610.1824055910874,0.9874363002298484
2022-01-31,2689.2208672204492,0.9868450609294996
2022-02-01,2797.434855273681,0.9868838494059672
2022-02-02,2690.319739476765,0.9823284210114633
2022-02-03,2667.256728215686,0.9778579273034734
2022-02-04,2993.0994395135976,0.9840094399551974
2022-02-05,3018.6733981571506,0.9804791911230969
2022-02-06,3062.8058084507857,0.9801864413520155
2022-02-07,3149.953285509783,0.979347815869537
2022-02-08,3127.438106740214,0.9756550594988533
2022-02-09,3240.9210444877285,0.9761983899818424
2022-02-10,3081.911501840844,0.9773842663870902
2022-02-11,2930.5631692063735,0.9785137544820186
2022-02-12,2918.0853674291184,0.9780678707029582
2022-02-13,2889.235678281073,0.9779610922930753
2022-02-14,2935.6454998606846,0.9780360046570256
2022-02-15,3179.3002065350443,0.9811443317227497
2022-02-16,3128.640780542462,0.9813251119361112
2022-02-17,2881.613122162859,0.9841850777744394
2022-02-18,2792.3038477186237,0.9835837098638832
2022-02-19,2768.9716520348597,0.9835431159819574
2022-02-20,2632.49139911745,0.9846294650388671
2022-02-21,2574.513383778016,0.9849184648917785
2022-02-22,2644.153655546016,0.9818894314975364
2022-02-23,2594.700959110155,0.97369742956315
2022-02-24,2599.9335696870216,0.9729309271846535
2022-02-25,2771.890509646429,0.9697582534088809
